"energy, keV", N
0.5, 447
1.5, 443
2.5, 435
3.5, 435
4.5, 459
5.5, 414
6.5, 415
7.5, 466
8.5, 440
9.5, 403
10.5, 453
11.5, 434
12.5, 441
13.5, 470
14.5, 446
15.5, 442
16.5, 432
17.5, 468
18.5, 437
19.5, 469
20.5, 471
21.5, 457
22.5, 398
23.5, 448
24.5, 442
25.5, 447
26.5, 438
27.5, 456
28.5, 396
29.5, 419
30.5, 499
31.5, 415
32.5, 448
33.5, 487
34.5, 445
35.5, 455
36.5, 409
37.5, 465
38.5, 451
39.5, 435
40.5, 414
41.5, 465
42.5, 434
43.5, 468
44.5, 463
45.5, 447
46.5, 429
47.5, 441
48.5, 426
49.5, 442
50.5, 426
51.5, 449
52.5, 421
53.5, 418
54.5, 427
55.5, 425
56.5, 485
57.5, 428
58.5, 454
59.5, 432
60.5, 421
61.5, 451
62.5, 487
63.5, 435
64.5, 455
65.5, 429
66.5, 456
67.5, 442
68.5, 399
69.5, 452
70.5, 405
71.5, 455
72.5, 456
73.5, 442
74.5, 438
75.5, 431
76.5, 437
77.5, 447
78.5, 456
79.5, 447
80.5, 446
81.5, 476
82.5, 463
83.5, 473
84.5, 443
85.5, 422
86.5, 449
87.5, 440
88.5, 459
89.5, 441
90.5, 455
91.5, 413
92.5, 445
93.5, 386
94.5, 433
95.5, 468
96.5, 471
97.5, 458
98.5, 415
99.5, 451
100.5, 461
101.5, 444
102.5, 462
103.5, 468
104.5, 441
105.5, 440
106.5, 437
107.5, 470
108.5, 454
109.5, 432
110.5, 412
111.5, 429
112.5, 457
113.5, 419
114.5, 414
115.5, 423
116.5, 461
117.5, 436
118.5, 445
119.5, 469
120.5, 436
121.5, 491
122.5, 405
123.5, 450
124.5, 437
125.5, 489
126.5, 410
127.5, 426
128.5, 445
129.5, 476
130.5, 420
131.5, 452
132.5, 440
133.5, 413
134.5, 479
135.5, 443
136.5, 436
137.5, 502
138.5, 474
139.5, 445
140.5, 493
141.5, 463
142.5, 469
143.5, 437
144.5, 465
145.5, 446
146.5, 441
147.5, 441
148.5, 470
149.5, 474
150.5, 458
151.5, 645
152.5, 459
153.5, 444
154.5, 478
155.5, 403
156.5, 477
157.5, 461
158.5, 501
159.5, 438
160.5, 480
161.5, 470
162.5, 465
163.5, 439
164.5, 458
165.5, 459
166.5, 440
167.5, 484
168.5, 484
169.5, 479
170.5, 456
171.5, 457
172.5, 491
173.5, 437
174.5, 442
175.5, 422
176.5, 408
177.5, 438
178.5, 468
179.5, 420
180.5, 447
181.5, 470
182.5, 424
183.5, 433
184.5, 455
185.5, 434
186.5, 430
187.5, 408
188.5, 445
189.5, 466
190.5, 424
191.5, 430
192.5, 401
193.5, 425
194.5, 451
195.5, 469
196.5, 456
197.5, 463
198.5, 464
199.5, 492
200.5, 430
201.5, 489
202.5, 434
203.5, 429
204.5, 440
205.5, 437
206.5, 458
207.5, 415
208.5, 437
209.5, 461
210.5, 586
211.5, 591
212.5, 575
213.5, 574
214.5, 565
215.5, 578
216.5, 552
217.5, 561
218.5, 545
219.5, 552
220.5, 542
221.5, 539
222.5, 527
223.5, 508
224.5, 536
225.5, 575
226.5, 546
227.5, 551
228.5, 524
229.5, 506
230.5, 494
231.5, 510
232.5, 507
233.5, 508
234.5, 487
235.5, 531
236.5, 462
237.5, 509
238.5, 494
239.5, 499
240.5, 516
241.5, 484
242.5, 491
243.5, 483
244.5, 490
245.5, 482
246.5, 530
247.5, 476
248.5, 483
249.5, 475
250.5, 490
251.5, 480
252.5, 490
253.5, 479
254.5, 444
255.5, 493
256.5, 476
257.5, 480
258.5, 442
259.5, 469
260.5, 486
261.5, 475
262.5, 497
263.5, 448
264.5, 453
265.5, 454
266.5, 457
267.5, 465
268.5, 444
269.5, 460
270.5, 437
271.5, 439
272.5, 457
273.5, 464
274.5, 410
275.5, 470
276.5, 453
277.5, 430
278.5, 448
279.5, 468
280.5, 498
281.5, 419
282.5, 450
283.5, 456
284.5, 443
285.5, 479
286.5, 393
287.5, 441
288.5, 458
289.5, 394
290.5, 457
291.5, 434
292.5, 443
293.5, 434
294.5, 456
295.5, 429
